[ 2021-01-09 12:00:47,474 ] Connection to gameserver  "tcp://192.168.1.23:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:00:47,480 ] Disconnected from gameserver
[ 2021-01-09 12:00:48,292 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:03:03,470 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:03:30,161 ] Asset loading complete
[ 2021-01-09 12:10:51,048 ] Asset loading complete
[ 2021-01-09 12:10:53,838 ] News query failed: "Unrecognized event news."
[ 2021-01-09 12:10:54,831 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 12:10:54,835 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:10:54,846 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:10:54,973 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:10:54,979 ] Disconnected from gameserver
[ 2021-01-09 12:10:55,891 ] News query failed: "Unrecognized event news."
[ 2021-01-09 12:11:25,698 ] News query failed: "Unrecognized event news."
[ 2021-01-09 12:11:26,436 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Mino" )
[ 2021-01-09 12:11:26,438 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:11:26,448 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:11:26,865 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:11:26,871 ] Disconnected from gameserver
[ 2021-01-09 12:11:27,417 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:16:46,578 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:16:47,266 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Mino" )
[ 2021-01-09 12:16:47,267 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:16:47,278 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:16:47,464 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:16:47,469 ] Disconnected from gameserver
[ 2021-01-09 12:16:48,247 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:16:48,746 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:17:01,089 ] Asset loading complete
[ 2021-01-09 12:18:04,810 ] News query failed: "Unrecognized event news."
